name,positions
Brent Burns,D
Corey Perry,R
Alex Ovechkin,LR
Evgeni Malkin,CL
Sidney Crosby,C
Jack Johnson,D
Anze Kopitar,C
Jordan Staal,C
Jonathan Toews,C
Claude Giroux,LR
Semyon Varlamov,G
Nick Foligno,CL
Kris Letang,D
Jonathan Quick,G
Ryan Reaves,R
Patrick Kane,R
James van Riemsdyk,L
Ryan McDonagh,D
Lars Eller,C
Ian Cole,D
Mikael Backlund,C
David Perron,LR
Brendan Smith,D
Brad Marchand,L
Steven Stamkos,CLR
Drew Doughty,D
Zach Bogosian,D
Alex Pietrangelo,D
Luke Schenn,D
Tyler Myers,D
Erik Karlsson,D
Jordan Eberle,R
John Carlson,D
Jamie Benn,CL
Jake Allen,G
John Tavares,C
Victor Hedman,D
Matt Duchene,CR
Evander Kane,L
Brayden Schenn,C
Oliver Ekman-Larsson,D
Nazem Kadri,C
Ryan Ellis,D
Dmitry Kulikov,D
Nick Leddy,D
Chris Kreider,L
Marcus Johansson,L
Kyle Palmieri,R
Evgenii Dadonov,R
Travis Hamonic,D
Casey Cizikas,CL
Marcus Foligno,L
Ryan O'Reilly,C
Jeff Petry,D
Cameron Talbot,G
Kevin Connauton,D
Sergei Bobrovsky,G
Mats Zuccarello,R
Roman Josi,D
Chris Tanev,D
Jacob Markstrom,G
Taylor Hall,L
Tyler Seguin,CR
Erik Gudbranson,D
Nino Niederreiter,LR
Jeff Skinner,L
Mikael Granlund,CLR
Dylan McIlrath,D
Cam Fowler,D
Jaden Schwartz,CL
Derek Forbort,D
Vladimir Tarasenko,LR
Austin Watson,L
Nick Bjugstad,C
Kevin Hayes,C
Charlie Coyle,CR
Brock Nelson,C
Tyler Pitlick,C
Alexander Petrovic,D
Justin Faulk,D
Tyler Toffoli,LR
Calvin Pickard,G
Calle Jarnkrok,C
Justin Holl,D
Jason Zucker,L
Radko Gudas,D
Bryan Rust,R
Scott Wedgewood,G
Philipp Grubauer,G
Chris Wagner,R
Zach Hyman,LR
John Klingberg,D
Petr Mrazek,G
Sam Carrick,C
Brendan Gallagher,R
Kevin Gravel,D
Mark Stone,R
Frederik Andersen,G
Brayden McNabb,D
Jared Spurgeon,D
Adam Henrique,C
Brenden Dillon,D
Dmitry Orlov,D
Ben Chiarot,D
Gustav Nyquist,LR
Mattias Ekholm,D
Darcy Kuemper,G
Nicolas Deslauriers,L
Ryan Nugent-Hopkins,CL
Gabriel Landeskog,L
Jonathan Huberdeau,CL
Adam Larsson,D
Ryan Strome,C
Mika Zibanejad,CR
Mark Scheifele,C
Sean Couturier,C
Dougie Hamilton,D
Jonas Brodin,D
Jamie Oleksiak,D
J.T. Miller,CR
Joel Armia,R
Connor Murphy,D
Stefan Noesen,LR
Phillip Danault,C
Vladislav Namestnikov,CL
Rickard Rakell,CLR
Scott Mayfield,D
Boone Jenner,CL
John Gibson,G
Brandon Saad,L
Joel Edmundson,D
William Karlsson,C
Nikita Kucherov,R
Vincent Trocheck,C
T.J. Tynan,C
Adam Lowry,C
Nick Cousins,L
Blake Coleman,CLR
Jordan Binnington,G
Jean-Gabriel Pageau,CR
Mike Reilly,D
Joseph LaBate,C
Nick Seeler,D
Sean Kuraly,C
Josh Manson,D
Laurent Brossoit,G
Max McCormick,L
Travis Boyd,C
Dylan DeMelo,D
Anton Forsberg,G
Colin Blackwell,C
Ondrej Palat,L
Alex Killorn,CLR
Reilly Smith,R
Brian Dumoulin,D
Morgan Rielly,D
Hampus Lindholm,D
Mathew Dumba,D
Derrick Pouliot,D
Jacob Trouba,D
Filip Forsberg,L
Radek Faksa,C
Zemgus Girgensons,LR
Cody Ceci,D
Tom Wilson,R
Tomas Hertl,CL
Teuvo Teravainen,LR
Andrei Vasilevskiy,G
Scott Laughton,CL
Mark Jankowski,C
Olli Maatta,D
Mike Matheson,D
Brendan Gaunce,C
Brady Skjei,D
Tanner Pearson,L
Jonathan Marchessault,R
Phillip Di Giuseppe,L
Jake McCabe,D
Anthony Stolarz,G
Martin Frk,R
Colton Sissons,CL
Teddy Blueger,C
Jordan Martinook,L
Damon Severson,D
Joonas Korpisalo,G
Adam Pelech,D
Mackenzie MacEachern,L
Esa Lindell,D
Chandler Stephenson,C
Shayne Gostisbehere,D
Oskar Sundqvist,C
Matthew Murray,G
Matt Grzelcyk,D
Colton Parayko,D
Erik Gustafsson,D
Josh Anderson,R
Brett Kulak,D
Jaccob Slavin,D
Dominic Toninato,C
Connor Hellebuyck,G
Ben Hutton,D
Alexander Kerfoot,CLR
Colin Miller,D
Connor Brown,R
Linus Ullmark,G
Vincent Hinostroza,C
Matthew Benning,D
Matt Tomkins,G
Jaycob Megna,D
Kurtis MacDermid,L
Anders Lee,L
Nate Schmidt,D
Erik Haula,CL
Nick Jensen,D
Luke Glendening,C
Nathan MacKinnon,C
Aleksander Barkov,C
Jonathan Drouin,LR
Seth Jones,D
Elias Lindholm,C
Sean Monahan,C
Darnell Nurse,D
Rasmus Ristolainen,D
Bo Horvat,C
Valeri Nichushkin,LR
Max Domi,CL
Josh Morrissey,D
Alexander Wennberg,C
Ryan Pulock,D
Nikita Zadorov,D
Curtis Lazar,C
Anthony Mantha,R
Andre Burakovsky,L
Michael McCarron,C
Shea Theodore,D
Jason Dickinson,C
Ryan Hartman,CR
J.T. Compher,C
Steven Santini,D
Tristan Jarry,G
Gustav Olofsson,D
Justin Bailey,R
Artturi Lehkonen,LR
William Carrier,L
Tyler Bertuzzi,LR
Eric Comrie,G
Brett Pesce,D
John Hayden,C
Pavel Buchnevich,CLR
Jake Guentzel,L
Marcus Hogberg,G
Mattias Janmark,C
Anthony Duclair,L
Carter Verhaeghe,L
Oliver Bjorkstrand,R
Juuse Saros,G
Miles Wood,L
Nick Paul,CL
Andrew Copp,CL
Ben Harpur,D
Ryan Graves,D
Hudson Fasching,R
Tyler Motte,L
Cal Petersen,G
Connor Clifton,D
Carson Soucy,D
Jonny Brodzinski,C
Joshua Brown,D
Anton Blidh,L
Kyle Burroughs,D
MacKenzie Weegar,D
Justin Dowling,C
Nathan Walker,L
Scott Sabourin,R
Ross Johnston,L
Barclay Goodrow,C
Yanni Gourde,C
Pheonix Copley,G
Trevor van Riemsdyk,D
Jordan Oesterle,D
Nic Dowd,C
Patrick Brown,C
Tomas Nosek,L
Aaron Ekblad,D
Sam Reinhart,CR
Leon Draisaitl,CL
Sam Bennett,C
Haydn Fleury,D
William Nylander,CR
Nikolaj Ehlers,LR
Kevin Fiala,L
Dylan Larkin,C
Travis Sanheim,D
Alex Tuch,R
Tony DeAngelo,D
Nick Schmaltz,CR
Robby Fabbri,CL
Kasperi Kapanen,R
Jared McCann,CL
David Pastrnak,R
Adrian Kempe,R
Ivan Barbashev,L
Thatcher Demko,G
Alex Nedeljkovic,G
Marcus Pettersson,D
Vitek Vanecek,G
Andreas Englund,D
Nicolas Aube-Kubel,R
Brandon Montour,D
